Pattern,Color1,Color2,Occasion,ColorCombination
Solid,Red,White,Meeting,Red & White
Striped,Blue,Black,Casual,Blue & Black
Checkered,Green,Gray,Formal,Green & Gray
Floral,Yellow,Orange,Party,Yellow & Orange
Solid,Pink,Brown,Meeting,Pink & Brown
Striped,Purple,White,Casual,Purple & White
Checkered,Black,Yellow,Formal,Black & Yellow
Floral,Green,Blue,Party,Green & Blue
Solid,Red,Yellow,Meeting,Red & Yellow
Striped,Blue,Green,Casual,Blue & Green
Checkered,Yellow,Orange,Formal,Yellow & Orange
Floral,Pink,White,Party,Pink & White
Solid,Black,Gray,Meeting,Black & Gray
Striped,White,Purple,Casual,White & Purple
Checkered,Orange,Brown,Formal,Orange & Brown
Floral,Red,Blue,Party,Red & Blue
Solid,Green,Yellow,Meeting,Green & Yellow
Striped,Brown,Orange,Casual,Brown & Orange
Checkered,Blue,White,Formal,Blue & White
Floral,Purple,Pink,Party,Purple & Pink
Solid,Yellow,Black,Meeting,Yellow & Black
Striped,Gray,Red,Casual,Gray & Red
Checkered,White,Green,Formal,White & Green
Floral,Orange,Blue,Party,Orange & Blue
Solid,Pink,Purple,Meeting,Pink & Purple
Striped,Brown,Black,Casual,Brown & Black
Checkered,Blue,Yellow,Formal,Blue & Yellow
Floral,Green,White,Party,Green & White
Solid,Red,Orange,Meeting,Red & Orange
Striped,Blue,Pink,Casual,Blue & Pink
Checkered,Yellow,Purple,Formal,Yellow & Purple
Floral,Black,Gray,Party,Black & Gray
Solid,White,Brown,Meeting,White & Brown
Striped,Orange,Green,Casual,Orange & Green
Checkered,Pink,Blue,Formal,Pink & Blue
Floral,Purple,Yellow,Party,Purple & Yellow
Solid,Gray,Black,Meeting,Gray & Black
Striped,Red,White,Casual,Red & White
Checkered,Green,Orange,Formal,Green & Orange
Floral,Brown,Pink,Party,Brown & Pink
Solid,Blue,Yellow,Meeting,Blue & Yellow
Striped,Black,Purple,Casual,Black & Purple
Checkered,White,Red,Formal,White & Red
Floral,Gray,Green,Party,Gray & Green
Solid,Orange,Blue,Meeting,Orange & Blue
Striped,Pink,Brown,Casual,Pink & Brown
Checkered,Purple,Black,Formal,Purple & Black
Floral,Yellow,White,Party,Yellow & White
Solid,Green,Red,Meeting,Green & Red
Striped,Blue,Orange,Casual,Blue & Orange
Checkered,Gray,Pink,Formal,Gray & Pink
Floral,Black,Yellow,Party,Black & Yellow
Solid,Brown,Purple,Meeting,Brown & Purple
Striped,White,Green,Casual,White & Green
Checkered,Red,Blue,Formal,Red & Blue
Floral,Orange,Gray,Party,Orange & Gray
Solid,Pink,Yellow,Meeting,Pink & Yellow
Striped,Purple,Black,Casual,Purple & Black
Checkered,Blue,Brown,Formal,Blue & Brown
Floral,Green,Red,Party,Green & Red
Solid,Yellow,Orange,Meeting,Yellow & Orange
Striped,Black,Gray,Casual,Black & Gray
Checkered,White,Pink,Formal,White & Pink
Floral,Blue,Brown,Party,Blue & Brown
Solid,Gray,Purple,Meeting,Gray & Purple
Striped,Red,Yellow,Casual,Red & Yellow
Checkered,Green,Orange,Formal,Green & Orange
Floral,Black,Blue,Party,Black & Blue
Solid,Brown,Green,Meeting,Brown & Green
Striped,White,Pink,Casual,White & Pink
Checkered,Purple,Yellow,Formal,Purple & Yellow
Floral,Red,Gray,Party,Red & Gray
Solid,Orange,Black,Meeting,Orange & Black
Striped,Blue,Green,Casual,Blue & Green
Checkered,Yellow,White,Formal,Yellow & White
Floral,Pink,Brown,Party,Pink & Brown
